2025-02-07 22:28:59.771 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs/project_log.log
2025-02-07 22:28:59.774 | INFO     | __main__:<module>:68 - Project root: /Users/evandobler/buzzline-04-dobler
2025-02-07 22:28:59.774 | INFO     | __main__:<module>:72 - Data folder: /Users/evandobler/buzzline-04-dobler/data
2025-02-07 22:28:59.775 | INFO     | __main__:<module>:76 - Data file: /Users/evandobler/buzzline-04-dobler/data/buzz.json
2025-02-07 22:28:59.775 | INFO     | __main__:main:136 - START producer.
2025-02-07 22:28:59.775 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-02-07 22:28:59.779 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-02-07 22:28:59.779 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-07 22:29:00.136 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'evans-air.lan', 'port': 9092, 'rack': None}], 'cluster_id': '1cffF6jIQxOKLfzrCKy2-Q', 'controller_id': 0}
2025-02-07 22:29:00.137 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-02-07 22:29:00.137 | INFO     | __main__:get_message_interval:57 - Message interval: 3 seconds
2025-02-07 22:29:00.137 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-07 22:29:00.138 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-02-07 22:29:00.254 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-02-07 22:29:00.254 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-07 22:29:00.592 | INFO     | utils.utils_producer:create_kafka_topic:172 - Topic 'buzzline_json' already exists. Clearing it out...
2025-02-07 22:29:00.592 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-07 22:29:00.952 | ERROR    | utils.utils_producer:clear_kafka_topic:235 - Error managing retention for topic 'buzzline_json': list indices must be integers or slices, not ConfigResource
2025-02-07 22:29:00.953 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-02-07 22:29:00.953 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
